city,date,venue,winner
Bangalore,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders
Chandigarh,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings
Delhi,2008-04-19,Feroz Shah Kotla,Delhi Daredevils
Mumbai,2008-04-20,Wankhede Stadium,Royal Challengers Bangalore
Kolkata,2008-04-20,Eden Gardens,Kolkata Knight Riders
Jaipur,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils
Chennai,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Hyderabad,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
Chandigarh,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Bangalore,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals
Chennai,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Mumbai,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers
Chandigarh,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Bangalore,2008-04-28,M Chinnaswamy Stadium,Chennai Super Kings
Kolkata,2008-04-29,Eden Gardens,Mumbai Indians
Delhi,2008-04-30,Feroz Shah Kotla,Delhi Daredevils
Hyderabad,2008-05-01,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab
Jaipur,2008-05-01,Sawai Mansingh Stadium,Rajasthan Royals
Chennai,2008-05-02,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils
Hyderabad,2008-05-25,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore
Chandigarh,2008-05-03,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Mumbai,2008-05-04,Dr DY Patil Sports Academy,Mumbai Indians
Jaipur,2008-05-04,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2008-05-05,M Chinnaswamy Stadium,Kings XI Punjab
Chennai,2008-05-06,"MA Chidambaram Stadium, Chepauk",Deccan Chargers
Mumbai,2008-05-07,Dr DY Patil Sports Academy,Mumbai Indians
Delhi,2008-05-08,Feroz Shah Kotla,Chennai Super Kings
Kolkata,2008-05-08,Eden Gardens,Kolkata Knight Riders
Jaipur,2008-05-09,Sawai Mansingh Stadium,Rajasthan Royals
Bangalore,2008-05-28,M Chinnaswamy Stadium,Mumbai Indians
Chennai,2008-05-10,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
Hyderabad,2008-05-11,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders
Jaipur,2008-05-11,Sawai Mansingh Stadium,Rajasthan Royals
Chandigarh,2008-05-12,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Kolkata,2008-05-13,Eden Gardens,Kolkata Knight Riders
Mumbai,2008-05-14,Wankhede Stadium,Mumbai Indians
Chandigarh,2008-05-28,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Delhi,2008-05-15,Feroz Shah Kotla,Delhi Daredevils
Mumbai,2008-05-16,Wankhede Stadium,Mumbai Indians
Delhi,2008-05-17,Feroz Shah Kotla,Kings XI Punjab
Jaipur,2008-05-17,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2008-05-18,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians
Kolkata,2008-05-18,Eden Gardens,Chennai Super Kings
Bangalore,2008-05-19,M Chinnaswamy Stadium,Delhi Daredevils
Kolkata,2008-05-20,Eden Gardens,Rajasthan Royals
Mumbai,2008-05-21,Wankhede Stadium,Kings XI Punjab
Chennai,2008-05-21,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore
Chandigarh,2008-05-23,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
Delhi,2008-05-24,Feroz Shah Kotla,Delhi Daredevils
Chennai,2008-05-24,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals
Bangalore,2008-05-03,M Chinnaswamy Stadium,Royal Challengers Bangalore
Kolkata,2008-05-25,Eden Gardens,Kolkata Knight Riders
Jaipur,2008-05-26,Sawai Mansingh Stadium,Rajasthan Royals
Hyderabad,2008-05-27,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings
Mumbai,2008-05-30,Wankhede Stadium,Rajasthan Royals
Mumbai,2008-05-31,Wankhede Stadium,Chennai Super Kings
Mumbai,2008-06-01,Dr DY Patil Sports Academy,Rajasthan Royals
Cape Town,2009-04-18,Newlands,Mumbai Indians
Cape Town,2009-04-18,Newlands,Royal Challengers Bangalore
Cape Town,2009-04-19,Newlands,Delhi Daredevils
Cape Town,2009-04-19,Newlands,Deccan Chargers
Port Elizabeth,2009-04-20,St George's Park,Chennai Super Kings
Durban,2009-04-21,Kingsmead,Kolkata Knight Riders
Cape Town,2009-04-22,Newlands,Deccan Chargers
Durban,2009-04-23,Kingsmead,Delhi Daredevils
Cape Town,2009-04-23,Newlands,Rajasthan Royals
Durban,2009-04-24,Kingsmead,Kings XI Punjab
Durban,2009-04-25,Kingsmead,Deccan Chargers
Port Elizabeth,2009-04-26,St George's Park,Delhi Daredevils
Cape Town,2009-04-26,Newlands,Kings XI Punjab
Durban,2009-04-27,Kingsmead,Deccan Chargers
Port Elizabeth,2009-04-27,St George's Park,Mumbai Indians
Centurion,2009-04-28,SuperSport Park,Rajasthan Royals
Durban,2009-04-29,Kingsmead,Royal Challengers Bangalore
Durban,2009-04-29,Kingsmead,Kings XI Punjab
Centurion,2009-04-30,SuperSport Park,Delhi Daredevils
Centurion,2009-04-30,SuperSport Park,Chennai Super Kings
East London,2009-05-01,Buffalo Park,Mumbai Indians
Durban,2009-05-01,Kingsmead,Royal Challengers Bangalore
Port Elizabeth,2009-05-02,St George's Park,Rajasthan Royals
Johannesburg,2009-05-02,New Wanderers Stadium,Chennai Super Kings
Port Elizabeth,2009-05-03,St George's Park,Kings XI Punjab
